id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
335272,ZYLY,small_airport,"Liaoyang Air Base",41.277976,123.078729,57,AS,China,CN,"Liaoning Province",CN-21,21,Liaoyang,0,ZYLY,,,,,,50,2022-06-04T09:12:43+00:00
525774,CN-0422,small_airport,"Lishui Airport (under construction)",28.3727,119.839,,AS,China,CN,"Zhejiang Province",CN-33,33,Lishui,0,ZSLR,LIJ,,,https://en.wikipedia.org/wiki/Lishui_Airport,,50,2024-09-06T20:59:30+00:00
354382,ZMAZ,small_airport,"Mazongshan Airport",42.308371,97.077148,5462,AS,China,CN,"Gansu Province",CN-62,62,Mazongshan,0,ZMAZ,,,,,,50,2022-05-15T20:04:37+00:00
350943,CN-0248,small_airport,"Pengshan Air Base",30.26485,103.8511,1447,AS,China,CN,"Sichuan Province",CN-51,51,"Meishan (Pengshan)",0,,,,,,,50,2022-08-29T13:54:46+00:00
32701,ZGXN,small_airport,"Xingning Air Base",24.1492,115.758003,,AS,China,CN,"Guangdong Province",CN-44,44,"Meizhou (Xingning)",0,ZGXN,XIN,,,https://en.wikipedia.org/wiki/Xingning_Air_Base,,50,2021-05-14T18:20:52+00:00
525772,CN-0420,small_airport,"Honghe Mengzi Airport (under construction)",23.464782,103.347487,,AS,China,CN,"Yunnan Province",CN-53,53,Mengzi,0,,,,,https://en.wikipedia.org/wiki/Honghe_Mengzi_Airport,,50,2024-04-15T15:49:47+00:00
525775,CN-0423,small_airport,"Nanchang Yaohu Airport",28.700972,116.107694,,AS,China,CN,"Jiangxi Province",CN-36,36,Nanchang,0,ZSYH,YHJ,,,https://en.wikipedia.org/wiki/Nanchang_Yaohu_Airport,,50,2024-07-12T06:46:31+00:00
42466,CN-0002,closed,"Nanjing Dajiaochang Airport",31.996394,118.81279,,AS,China,CN,"Jiangsu Province",CN-32,32,Nanjing,0,,,,,https://en.wikipedia.org/wiki/Nanjing_Dajiaochang_Airport,"Dajiaochang, NKT, Z08T, ZSNJ",50,2021-12-21T12:41:02+00:00
348699,CN-0224,small_airport,"Luhe Ma'an Airport",32.37938,118.79465,79,AS,China,CN,"Jiangsu Province",CN-32,32,Nanjing,0,,,,,,,50,2021-10-12T16:34:38+00:00
350874,CN-0235,small_airport,"Jiangning Tushan Air Base",31.97139,118.8404,33,AS,China,CN,"Jiangsu Province",CN-32,32,Nanjing,0,,,,,,,50,2021-12-21T12:45:46+00:00
525160,CN-0416,small_airport,"Otog Front Banner Oljoq Airport",38.1712,107.3905,,AS,China,CN,"Inner Mongolia Autonomous Region",CN-15,15,"Otog Front Banner",0,,OTQ,,,,,50,2024-04-09T13:05:20+00:00
356373,CN-0378,small_airport,"Panjin Chenjia General Airport",41.269306,122.141361,,AS,China,CN,"Liaoning Province",CN-21,21,Panjin,0,,,,,,,50,2022-08-28T13:58:19+00:00
351909,CN-0296,small_airport,"Qingdao Cihang General Airport",36.983261,120.268279,383,AS,China,CN,"Shandong Province",CN-37,37,Qingdao,0,,,,,,,50,2022-01-25T16:28:11+00:00
350957,CN-0261,small_airport,"Gannan Chahayang Airport",48.20117,124.17853,591,AS,China,CN,"Heilongjiang Province",CN-23,23,Qiqihar,0,,,,,,,50,2021-12-22T17:57:15+00:00
350959,CN-0263,small_airport,"Keshan Farm Airport",48.30346,125.35989,991,AS,China,CN,"Heilongjiang Province",CN-23,23,Qiqihar,0,,,,,,,50,2021-12-22T18:12:23+00:00
525757,CN-0417,small_airport,"Qitai Jiangbulake Airport (under construction)",44.166086,89.55014,,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Qitai,0,ZWQT,JBK,,,https://en.wikipedia.org/wiki/Qitai_Jiangbulake_Airport,,50,2024-04-15T14:24:20+00:00
354722,CN-0347,small_airport,"Ruijin Airport",25.958108,116.078805,,AS,China,CN,"Jiangxi Province",CN-36,36,Ruijin,0,,JRJ,,,https://en.wikipedia.org/wiki/Ganzhou_Ruijin_Airport,,50,2024-05-22T10:34:00+00:00
